Code,Name,ROE,PER
065510,휴비츠,9.34,11.52
368770,파이버프로,9.33,35.50
040910,아이씨디,-26.35,-4.09
039560,다산네트웍스,-27.66,-1.41
000440,중앙에너비스,-0.43,-130.89
067900,와이엔텍,10.69,5.04
388050,지투파워,N/A,145.32
092460,한라IMS,55.21,1.71
100700,세운메디칼,11.59,8.57
228850,레이언스,8.43,6.06
382800,지앤비에스 에코,21.50,7.44
452190,한빛레이저,-28.71,-21.00
066620,국보디자인,15.52,4.19
085670,뉴프렉스,9.80,12.15
084730,팅크웨어,8.28,8.21
142280,녹십자엠에스,5.31,115.38
186230,그린플러스,-26.24,-9.77
054620,APS,6.27,5.40
207760,미스터블루,-18.16,-8.20
056090,이노시스,2.76,78.47
105550,엣지파운드리,-34.34,-4.41
066700,테라젠이텍스,18.77,4.77
109820,진매트릭스,-3.78,-73.86
044340,위닉스,4.86,12.46
012700,리드코프,2.12,13.42
039340,한국경제TV,6.24,11.13
063170,서울옥션,-6.62,-22.73
072770,율호,-13.85,-12.06
178780,일월지엠엘,-66.79,-23.13
045660,에이텍,N/A,25.41
452430,사피엔반도체,"-45,024.03",-8.73
066790,씨씨에스,9.66,51.43
026150,특수건설,-2.17,-64.18
900250,크리스탈신소재,2.01,11.85
418420,라온텍,-49.02,-42.71
013310,아진산업,19.21,3.58
260930,씨티케이,4.44,37.92
294140,레몬,-63.70,-21.54
140670,알에스오토메이션,-15.24,-15.31
039610,화성밸브,9.55,17.52
054050,농우바이오,4.08,11.10
376190,LB루셈,0.59,496.50
151910,퓨처코어,-20.73,-12.80
124560,태웅로직스,12.46,6.01
332570,와이팜,26.65,8.36
021080,에이티넘인베스트,11.67,5.69
019550,SBI인베스트먼트,6.83,19.08
005710,대원산업,8.28,3.02
137950,제이씨케미칼,13.30,9.73
460470,아이빔테크놀로지,140.14,-12.31
069510,에스텍,14.67,4.57
215360,우리산업,19.49,6.71
365330,에스와이스틸텍,31.57,8.79
419080,엔젯,0.66,-139.01
262260,에이프로,18.88,14.28
424960,스마트레이더시스템,-33.69,-20.08
053050,지에스이,6.17,20.21
066590,우수AMS,13.15,9.90
200350,래몽래인,-18.09,-8.79
159010,아스플로,6.42,168.65
052330,코텍,2.48,12.23
138080,오이솔루션,-26.11,-3.38
170920,엘티씨,-30.90,-5.17
241690,유니테크노,7.51,13.97
311690,CJ 바이오사이언스,-37.83,-4.46
384470,코어라인소프트,-202.85,-7.64
074430,아미노로직스,4.61,45.52
058630,엠게임,21.13,6.13
267320,나인테크,16.39,12.44
037950,엘컴텍,3.39,57.08
214610,미코바이오메드,-94.28,-3.26
257370,피엔티엠에스,-12.39,368.40
053700,삼보모터스,10.23,3.38
120240,대정화금,8.27,10.87
060310,3S,5.52,124.72
462510,라메디텍,-120.80,-10.79
185490,아이진,-32.48,-5.88
064240,홈캐스트,-11.12,-15.42
005990,매일홀딩스,13.77,2.23
053280,예스24,-1.80,-20.56
018120,진로발효,8.11,12.73
071200,인피니트헬스케어,15.36,4.97
361390,제노코,4.82,-688.18
059270,해성에어로보틱스,-1.93,-106.15
260970,에스앤디,14.24,12.57
131030,옵투스제약,8.31,10.16
024840,KBI메탈,0.06,358.89
086820,바이오솔루션,-2.91,-30.60
041920,메디아나,9.33,10.71
140070,서플러스글로벌,3.11,137.73
067570,엔브이에이치코리아,2.70,32.78
330350,위더스제약,9.19,12.15
162300,신스틸,9.56,58.59
226400,오스테오닉,8.28,18.88
263050,유틸렉스,-37.41,-4.17
061040,알에프텍,1.74,33.45
124500,아이티센,1.06,89.81
011560,세보엠이씨,15.32,3.11
347890,엠투아이,8.68,17.45
333620,엔시스,3.96,17.71
035610,솔본,26.51,2.82
099750,이지케어텍,3.50,90.96
311320,지오엘리먼트,4.49,25.14
241820,피씨엘,-60.61,-5.38
080580,오킨스전자,3.13,105.08
014470,부방,-15.21,-4.40
027050,코리아나,2.11,73.65
263600,덕우전자,-8.10,-10.75
333430,일승,10.74,27.06
089850,유비벨록스,17.03,5.66
003100,선광,8.57,3.56
042510,라온시큐어,9.90,74.58
036630,세종텔레콤,13.95,3.12
448710,코츠테크놀로지,26.63,13.43
352090,스톰테크,16.64,8.63
300080,플리토,-82.98,-18.58
413630,씨피시스템,16.53,17.77
226330,신테카바이오,-36.36,-11.05
142210,유니트론텍,18.64,5.36
019010,베뉴지,4.45,10.85
284620,카이노스메드,-80.48,-7.40
180400,DXVX,-99.67,-3.79
256940,케이피에스,7.13,8.64
160600,이큐셀,-2.52,-39.74
382480,지아이텍,9.84,17.26
291230,엔피,-7.86,134.17
255440,야스,-2.17,-36.88
041930,동아화성,9.76,7.30
238090,앤디포스,-10.48,-7.29
119850,지엔씨에너지,9.70,3.71
393210,토마토시스템,15.48,62.87
002800,신신제약,7.67,24.58
